ID,Role,Text,Emotion
1,Marisa,"呜哇！
这里到底是哪儿啊
前边的的那个是...巨大的彗星？！",0
2,Chirno,"是巨大的冰块
因为宇宙的温度太低了，所以有很多飘浮的冰块
在地面看到的彗星就是它们哦",2
3,Marisa,"琪露诺？你为什么会在这里
难道那块冰是你干的吗
妖精的生存力真是不可估量啊da☆ze",1
4,Chirno,"是笨蛋魔法使唉
你看，我正在这里数星星呐",0
5,Marisa,"是吗？那么星星总共有多少颗呢？
我这一路都看到眼花了
说起来星星不该是那种标准的五角星...",0
6,Chirno,"一共有⑨颗哦",2
7,Marisa,"你是笨蛋吗？这一眼就看得出不止九颗吧
九位数都不止了da☆ze",2
8,Chirno,"那么你看，从这里到那里...",2
9,Chirno,"看招！",4
10,Marisa,"!!",0
11,Chirno,"呜呜，可恶，偷袭也不行吗...
魔法使真是强得可怕",3
12,Marisa,"原来就是为了这一下啊，果然是笨蛋
我可是早就料到了哦",2
13,Chirno,"什么! (⊙v⊙'a 
居然被看穿了！",1
14,Marisa,"想要正面单挑我倒是很欢迎
但是偷袭是禁止的哦
怎么样？反正我也没什么事干
敢吗？",2
15,Chirno,"不要小瞧妖精了呀！
这里可是温度有足足零下270℃的宇宙
这可是我的主场，感受妖精的可怕吧！",4
16,Marisa,"喔喔！
那么要认真了da☆ze
我可不会留手哦！",3
17,Chirno,"今天的胜者将会是我
你也成为彗星之一吧！！！",5
