ID,Role,Text,Emotion
1,Reimu,"嗯...我好像看见了个熟悉的家伙
但是在这种地方？开玩笑的吧",1
2,Reimu,"呃...琪露诺？！
为什么这种地方还有妖精",0
3,Chirno,"! (OwO;) 巫...巫女！",0
4,Reimu,"好哇，果然是你这家伙，
在这里出现怎么想都很奇怪
果然是在计划什么吧
看招——",2
5,Chirno,"等等！这样一言不合就动手才很奇怪吧！",1
6,Reimu,"也是，那我问你——
这里的异变是不是你...
唉，似乎并没有异变？",1
7,Chirno,"对吧！
所以说这次你可没有理由再打我了",2
8,Reimu,"啧...似乎是这样",1
9,Reimu,"（不对，我为什么会莫名来到这种地方？
眼前有一颗莫名其妙的星体
还有一个莫名其妙的妖精...）",1
10,Reimu,"我想了想，果然还是先退治了你再说吧。",2
11,Chirno,"不不不！！等下啊aaa！
所以说根本就没有原因吗？
听——我说，我可是只在这里数星星玩啊",3
12,Reimu,"怎样都好啦
反正我可是看这些星星看到烦了
能有个妖精让揍一下也没什么不好吧",1
13,Chirno,"好哇，果然巫女就是种残暴蛮横的生物
总以为妖精很好欺负
所以只要闲逛的时候遇上就顺手解决掉",4
14,Chirno,"所以，
这里就是我特意为你准备的地方
无限接近绝对零度的空间...",4
15,Reimu,"我果然没猜错
小小妖精居然也敢以下克上
乖乖回你的冰屋里去吧！",3
16,Chirno,"这次你将葬身在这里
被冻成冰块，永远飘在行星带间
迎接妖精的复仇吧！",5
